fighter_id,fighter_name,height_in,weight_lb,reach_in,stance,dob,wins,losses,draws,profile_url
ebc5af72ad5a28cb,Nick Agallar,68.0,155.0,,Orthodox,"Jan 13, 1979",24.0,6.0,0.0,http://www.ufcstats.com/fighter-details/ebc5af72ad5a28cb
c0ed7b208197e8de,Hiroyuki Abe,66.0,145.0,,Orthodox,--,8.0,15.0,3.0,http://www.ufcstats.com/fighter-details/c0ed7b208197e8de
989b85f6540c86b1,John Adajar,69.0,170.0,75.0,Orthodox,"Jun 22, 1991",6.0,2.0,0.0,http://www.ufcstats.com/fighter-details/989b85f6540c86b1
d26934530dc5b248,Gilbert Aldana,73.0,250.0,,Orthodox,"Aug 25, 1977",6.0,2.0,0.0,http://www.ufcstats.com/fighter-details/d26934530dc5b248
1cf1310684a841f5,Mostapha Al-Turk,74.0,245.0,77.0,Orthodox,"Jul 14, 1973",6.0,6.0,0.0,http://www.ufcstats.com/fighter-details/1cf1310684a841f5
39f62b833e4cf126,Juan Alcain,,,,,--,1.0,2.0,0.0,http://www.ufcstats.com/fighter-details/39f62b833e4cf126
2144954270be834d,Javi Alanis,66.0,135.0,,,--,0.0,4.0,0.0,http://www.ufcstats.com/fighter-details/2144954270be834d
49dea784f6cfed71,Ashiek Ajim,68.0,135.0,71.0,Switch,"Jun 19, 1994",6.0,2.0,0.0,http://www.ufcstats.com/fighter-details/49dea784f6cfed71
0978385b2bd9ef9b,Nick Aguirre,69.0,135.0,74.0,Southpaw,"Jan 15, 1996",7.0,2.0,0.0,http://www.ufcstats.com/fighter-details/0978385b2bd9ef9b
93fe7332d16c6ad9,Tom Aaron,,155.0,,,"Jul 13, 1978",5.0,3.0,0.0,http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9
aa6e591c2a2cdecd,Ricardo Abreu,71.0,185.0,,Orthodox,"Apr 27, 1984",5.0,1.0,0.0,http://www.ufcstats.com/fighter-details/aa6e591c2a2cdecd
9e3dbb9c68ed5d1a,Mike Aina,69.0,155.0,,Orthodox,--,14.0,6.0,1.0,http://www.ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
9b28292abe3166d5,Brett Albee,,225.0,,,--,3.0,2.0,0.0,http://www.ufcstats.com/fighter-details/9b28292abe3166d5
26f4288e83188c61,Kantharaj Agasa,,135.0,,,"Feb 16, 1992",12.0,3.0,0.0,http://www.ufcstats.com/fighter-details/26f4288e83188c61
59a9d6dac61c2540,Nariman Abbasov,68.0,155.0,66.0,Orthodox,"Feb 01, 1994",28.0,4.0,0.0,http://www.ufcstats.com/fighter-details/59a9d6dac61c2540
841695e02c99a521,Mansur Abdul-Malik,74.0,185.0,80.0,Orthodox,"Oct 07, 1997",8.0,0.0,1.0,http://www.ufcstats.com/fighter-details/841695e02c99a521
501821d7fb7b95c1,Fabio Aguiar,72.0,185.0,,,"Feb 10, 1988",17.0,1.0,0.0,http://www.ufcstats.com/fighter-details/501821d7fb7b95c1
184b955181bdef52,Wes Albritton,70.0,188.0,,Orthodox,--,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/184b955181bdef52
44aa652b181bcf68,Marcelo Aguiar,70.0,170.0,,Orthodox,--,2.0,3.0,1.0,http://www.ufcstats.com/fighter-details/44aa652b181bcf68
38b50fd1e1b5b656,Razak Al-Hassan,74.0,205.0,,Orthodox,"May 14, 1982",13.0,5.0,0.0,http://www.ufcstats.com/fighter-details/38b50fd1e1b5b656
83b00f7597e5ac83,Juan Adams,77.0,265.0,80.0,Orthodox,"Jan 16, 1992",5.0,3.0,0.0,http://www.ufcstats.com/fighter-details/83b00f7597e5ac83
15df64c02b6b0fde,Danny Abbadi,71.0,155.0,,Orthodox,"Jul 03, 1983",4.0,6.0,0.0,http://www.ufcstats.com/fighter-details/15df64c02b6b0fde
7a846fcbf182a7c8,Mohamed Ado,71.0,170.0,76.0,Switch,"May 03, 2000",5.0,1.0,0.0,http://www.ufcstats.com/fighter-details/7a846fcbf182a7c8
f689bd7bbd14b392,Cyborg Abreu,,,,,"Dec 20, 1980",0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/f689bd7bbd14b392
7578cc6bd750206b,Herdem Alacabek,74.0,205.0,75.0,Orthodox,"Jun 07, 1991",5.0,1.0,0.0,http://www.ufcstats.com/fighter-details/7578cc6bd750206b
4961467134abd8be,Darion Abbey,74.0,265.0,80.0,Orthodox,"Feb 25, 1993",9.0,5.0,0.0,http://www.ufcstats.com/fighter-details/4961467134abd8be
dd1b90eea08887f6,Israel Albuquerque,,185.0,,Orthodox,--,0.0,3.0,0.0,http://www.ufcstats.com/fighter-details/dd1b90eea08887f6
ff584c17bccbae0b,Ahejiang Ailinuer,,145.0,,,--,15.0,3.0,0.0,http://www.ufcstats.com/fighter-details/ff584c17bccbae0b
c487223b0289bda9,Hector Aldana,71.0,170.0,72.0,Orthodox,"Aug 17, 1988",4.0,3.0,0.0,http://www.ufcstats.com/fighter-details/c487223b0289bda9
1e38bba6738b7b10,Alfonso Alcarez,63.0,145.0,,,"Jun 10, 1970",1.0,3.0,1.0,http://www.ufcstats.com/fighter-details/1e38bba6738b7b10
6cadc0a0ba7dc015,Edwin Aguilar,70.0,185.0,,,--,26.0,19.0,0.0,http://www.ufcstats.com/fighter-details/6cadc0a0ba7dc015
2620f3eb21c79614,Scott Adams,72.0,225.0,,Southpaw,--,8.0,1.0,0.0,http://www.ufcstats.com/fighter-details/2620f3eb21c79614
