fighter_name,date,open,close_low,close_high
John Albert,Jul 27th 2013,-175,-225,-220
John Albert,Dec 8th 2012,+180,+240,+245
John Albert,Jun 1st 2012,-230,-210,-185
John Albert,Feb 15th 2012,+200,+220,+220
John Albert,Dec 3rd 2011,+225,+205,+205
Razak Al-Hassan,Dec 2nd 2017,-265,-265,-265
Nick Aguirre,Nov 18th 2023,+350,+460,+600
Nick Aguirre,Jan 14th 2023,+285,+400,+410
Mostapha Al-Turk,Apr 10th 2010,+240,+205,+205
Mostapha Al-Turk,Jun 13th 2009,+330,+280,+280
Mostapha Al-Turk,Dec 27th 2008,+250,+255,+255
Mostapha Al-Turk,Jul 12th 2008,-425,-435,-435
Mostapha Al-Turk,Mar 8th 2008,-145,+110,+110
Irina Alekseeva,Jun 21st 2025,-188,-278,-245
Irina Alekseeva,Oct 14th 2023,-122,-110,+120
Irina Alekseeva,Apr 29th 2023,+175,+250,+400
Irina Alekseeva,Oct 23rd 2021,-170,-150,-137
Jessica Aguilar,Jul 30th 2022,+173,+150,+185
Jessica Aguilar,Mar 30th 2019,+245,+275,+295
Jessica Aguilar,Nov 24th 2018,+135,+400,+525
Jessica Aguilar,Jul 14th 2018,-155,+147,+150
Jessica Aguilar,May 13th 2017,-120,+140,+140
Jessica Aguilar,Aug 1st 2015,+185,+340,+360
Jessica Aguilar,Nov 15th 2014,-385,-240,-240
Jessica Aguilar,Jun 21st 2014,-600,-610,-600
Jessica Aguilar,Jan 18th 2014,-350,-350,-325
Jessica Aguilar,May 18th 2012,+205,+205,+210
Jessica Aguilar,Sep 30th 2010,+170,+165,+165
Jessica Aguilar,Aug 12th 2010,-320,-270,-270
Ildemar Alcantara,Feb 10th 2023,+150,+200,+200
Ildemar Alcantara,Jul 15th 2015,-115,-140,-140
Ildemar Alcantara,Jan 31st 2015,-210,-163,-155
Ildemar Alcantara,Jul 5th 2014,-125,-125,-125
Ildemar Alcantara,Feb 15th 2014,+140,+190,+195
