fighter_name,date,open,close_low,close_high,date_iso
John Albert,Jul 27th 2013,-175,-225,-220,2013-07-27
John Albert,Dec 8th 2012,180,240,245,2012-12-08
John Albert,Jun 1st 2012,-230,-210,-185,2012-06-01
John Albert,Feb 15th 2012,200,220,220,2012-02-15
John Albert,Dec 3rd 2011,225,205,205,2011-12-03
Nick Aguirre,Nov 18th 2023,350,460,600,2023-11-18
Nick Aguirre,Jan 14th 2023,285,400,410,2023-01-14
Mostapha Al-Turk,Apr 10th 2010,240,205,205,2010-04-10
Mostapha Al-Turk,Jun 13th 2009,330,280,280,2009-06-13
Mostapha Al-Turk,Dec 27th 2008,250,255,255,2008-12-27
Irina Alekseeva,Jun 21st 2025,-188,-278,-245,2025-06-21
Irina Alekseeva,Oct 14th 2023,-122,-110,120,2023-10-14
Irina Alekseeva,Apr 29th 2023,175,250,400,2023-04-29
Jessica Aguilar,Mar 30th 2019,245,275,295,2019-03-30
Jessica Aguilar,Nov 24th 2018,135,400,525,2018-11-24
Jessica Aguilar,Jul 14th 2018,-155,147,150,2018-07-14
Jessica Aguilar,May 13th 2017,-120,140,140,2017-05-13
Jessica Aguilar,Aug 1st 2015,185,340,360,2015-08-01
Ildemar Alcantara,Jul 15th 2015,-115,-140,-140,2015-07-15
Ildemar Alcantara,Jan 31st 2015,-210,-163,-155,2015-01-31
Ildemar Alcantara,Jul 5th 2014,-125,-125,-125,2014-07-05
Ildemar Alcantara,Feb 15th 2014,140,190,195,2014-02-15
Ildemar Alcantara,Oct 9th 2013,-315,-360,-345,2013-10-09
Ildemar Alcantara,Jun 8th 2013,-150,-180,-170,2013-06-08
Ildemar Alcantara,Jan 19th 2013,220,195,195,2013-01-19
Omari Akhmedov,Jul 10th 2021,165,102,135,2021-07-10
Omari Akhmedov,Jan 20th 2021,120,127,131,2021-01-20
Omari Akhmedov,Aug 8th 2020,-150,125,135,2020-08-08
Omari Akhmedov,Dec 14th 2019,100,-107,100,2019-12-14
Omari Akhmedov,Sep 7th 2019,-185,-135,-125,2019-09-07
Omari Akhmedov,Mar 9th 2019,-230,-164,-152,2019-03-09
Omari Akhmedov,Dec 30th 2017,185,210,230,2017-12-30
Omari Akhmedov,May 28th 2017,145,210,235,2017-05-28
Omari Akhmedov,Nov 26th 2016,-120,-110,-110,2016-11-26
Omari Akhmedov,Apr 16th 2016,-210,-145,-145,2016-04-16
Omari Akhmedov,Dec 10th 2015,-125,-145,-140,2015-12-10
Omari Akhmedov,Jun 6th 2015,-150,-140,-135,2015-06-06
Omari Akhmedov,Jan 3rd 2015,-135,-200,-194,2015-01-03
Omari Akhmedov,Mar 8th 2014,190,235,255,2014-03-08
Omari Akhmedov,Nov 9th 2013,-175,-155,-150,2013-11-09
Hamdy Abdelwahab,Jun 21st 2025,-150,-180,-163,2025-06-21
Hamdy Abdelwahab,Feb 1st 2025,105,-150,-120,2025-02-01
Hamdy Abdelwahab,Jul 30th 2022,-120,-105,195,2022-07-30
Ricardo Abreu,Jun 6th 2015,-210,-200,-175,2015-06-06
Ricardo Abreu,May 31st 2014,-350,-330,-320,2014-05-31
Klidson Abreu,Nov 9th 2019,190,109,125,2019-11-09
Klidson Abreu,Jul 20th 2019,-150,-175,-165,2019-07-20
Klidson Abreu,May 30th 2020,135,110,135,2020-05-30
Christian Aguilera,Aug 29th 2020,285,345,360,2020-08-29
Christian Aguilera,Jun 13th 2020,170,150,187,2020-06-13
Christian Aguilera,May 8th 2021,-140,153,185,2021-05-08
Aleksandra Albu,Apr 11th 2015,-125,-225,-220,2015-04-11
Junior Albini,Jun 29th 2019,115,-111,105,2019-06-29
Junior Albini,Feb 2nd 2019,100,-146,-125,2019-02-02
Junior Albini,May 12th 2018,-120,-145,-137,2018-05-12
Junior Albini,Nov 11th 2017,-210,-330,-320,2017-11-11
Junior Albini,Jul 22nd 2017,175,240,245,2017-07-22
Hector Aldana,Oct 12th 2019,170,200,210,2019-10-12
Hector Aldana,Nov 17th 2018,240,-139,-120,2018-11-17
Hector Aldana,Jun 23rd 2018,125,245,255,2018-06-23
Rostem Akman,Oct 5th 2019,185,300,385,2019-10-05
Rostem Akman,Jun 1st 2019,135,125,137,2019-06-01
Abdul-Kareem Al-Selwady,Mar 2nd 2024,142,-150,-125,2024-03-02
Juan Adams,Jul 20th 2019,-155,-115,-106,2019-07-20
Juan Adams,May 4th 2019,-130,-146,-135,2019-05-04
Juan Adams,Dec 15th 2018,-265,-500,-470,2018-12-15
Juan Adams,Feb 8th 2020,-185,-260,-250,2020-02-08
Daichi Abe,Jun 23rd 2018,240,185,205,2018-06-23
Daichi Abe,Sep 22nd 2017,110,100,106,2017-09-22
Daichi Abe,Feb 10th 2018,-160,-160,-157,2018-02-10
Mansur Abdul-Malik,Jun 15th 2025,-549,-1050,-800,2025-06-15
Mansur Abdul-Malik,Feb 23rd 2025,-549,-1430,-1100,2025-02-23
Mansur Abdul-Malik,Nov 10th 2024,-360,-550,-480,2024-11-10
Kevin Aguilar,May 15th 2021,-110,100,120,2021-05-15
Kevin Aguilar,Jun 13th 2020,-140,-175,-155,2020-06-13
Kevin Aguilar,Jun 22nd 2019,-175,-145,-140,2019-06-22
Kevin Aguilar,Mar 30th 2019,-165,105,113,2019-03-30
Kevin Aguilar,Nov 30th 2018,-165,100,113,2018-11-30
Kevin Aguilar,Feb 22nd 2020,120,-125,-120,2020-02-22
Zarrukh Adashev,Jun 4th 2022,240,160,195,2022-06-04
Zarrukh Adashev,Jul 31st 2021,120,-103,126,2021-07-31
Zarrukh Adashev,Jan 20th 2021,205,333,425,2021-01-20
Zarrukh Adashev,Jun 13th 2020,175,105,125,2020-06-13
Jesus Aguilar,Feb 15th 2025,250,350,460,2025-02-15
Jesus Aguilar,Aug 17th 2024,136,100,175,2024-08-17
Papy Abedi,Aug 28th 2013,185,240,285,2013-08-28
Papy Abedi,Apr 6th 2013,-170,-130,-120,2013-04-06
Papy Abedi,Apr 14th 2012,-270,-185,-185,2012-04-14
Papy Abedi,Nov 5th 2011,270,305,305,2011-11-05
Yoshihiro Akiyama,Nov 28th 2015,-210,-149,-145,2015-11-28
Yoshihiro Akiyama,Sep 20th 2014,-185,-160,-155,2014-09-20
Yoshihiro Akiyama,Feb 25th 2012,250,315,315,2012-02-25
Yoshihiro Akiyama,Aug 6th 2011,225,290,290,2011-08-06
Yoshihiro Akiyama,Oct 16th 2010,200,190,190,2010-10-16
Yoshihiro Akiyama,Jul 3rd 2010,-335,-192,-192,2010-07-03
Yoshihiro Akiyama,Jul 11th 2009,-325,-205,-205,2009-07-11
Amir Albazi,Nov 3rd 2024,125,140,150,2024-11-03
Amir Albazi,Jun 3rd 2023,175,-135,-115,2023-06-03
Amir Albazi,Dec 17th 2022,-300,-525,-425,2022-12-17
Amir Albazi,Aug 20th 2022,-300,-560,-455,2022-08-20
Amir Albazi,Jan 23rd 2021,-105,-120,-111,2021-01-23
Amir Albazi,Jul 18th 2020,-135,-152,-132,2020-07-18
Talita Alencar,Apr 5th 2025,110,-115,-104,2025-04-05
Talita Alencar,Aug 10th 2024,130,114,140,2024-08-10
Talita Alencar,Dec 10th 2023,100,130,136,2023-12-10
John Allan,Nov 6th 2021,210,290,310,2021-11-06
John Allan,Dec 5th 2020,170,160,170,2020-12-05
John Allan,Jul 13th 2019,265,340,350,2019-07-13
Jim Alers,Jul 23rd 2016,-270,-135,-120,2016-07-23
