fight_id,event_id,r_fighter_id,b_fighter_id,r_fighter_name,b_fighter_name,weight_class,winner_corner,fight_url
1a191251620a84ca,00a905a4a4a2b071,9d83f6da776ff7d6,77d7295d1b22c694,Roman Kopylov,Alessio Di Chirico,Middleweight,R,https://www.ufcstats.com/fight-details/1a191251620a84ca
20f316f96c9e4458,00a905a4a4a2b071,881bf86d4cba8578,b9437600497350f3,Nassourdine Imavov,Joaquin Buckley,Middleweight,R,https://www.ufcstats.com/fight-details/20f316f96c9e4458
398db40015b3c81c,00a905a4a4a2b071,e1d40e8782d80bc2,082eba4cd80f736f,William Gomis,Jarno Errens,Featherweight,R,https://www.ufcstats.com/fight-details/398db40015b3c81c
3e2f00991f511607,00a905a4a4a2b071,c2299ec916bc7c56,b909a9a9688b5284,Benoit Saint Denis,Gabriel Miranda,Lightweight,R,https://www.ufcstats.com/fight-details/3e2f00991f511607
7bced112f3229b1b,00a905a4a4a2b071,b7b84ccd221be298,c21a036b4e012f1c,Nasrat Haqparast,John Makdessi,Lightweight,R,https://www.ufcstats.com/fight-details/7bced112f3229b1b
810c9da07970c4a6,00a905a4a4a2b071,787bb1f087ccff8a,c62fbc117d57b943,Ciryl Gane,Tai Tuivasa,Heavyweight,R,https://www.ufcstats.com/fight-details/810c9da07970c4a6
acc9a109b00a99e1,00a905a4a4a2b071,329e403448756217,f1d64ae34e088832,Nathaniel Wood,Charles Jourdain,Featherweight,R,https://www.ufcstats.com/fight-details/acc9a109b00a99e1
b8ca1acdf3dc2f58,00a905a4a4a2b071,e1147d3d2dabe1ce,7acbb0972e75281a,Robert Whittaker,Marvin Vettori,Middleweight,R,https://www.ufcstats.com/fight-details/b8ca1acdf3dc2f58
ca7fd237c16cec84,00a905a4a4a2b071,7debc13b36343605,b4537562f88ac582,Cristian Quinonez,Khalid Taha,Bantamweight,R,https://www.ufcstats.com/fight-details/ca7fd237c16cec84
ce62a50e97d497f9,00a905a4a4a2b071,5e6294b37bbef029,06e4245d16fc5315,Stephanie Egger,Ailin Perez,Women's Featherweight,R,https://www.ufcstats.com/fight-details/ce62a50e97d497f9
cf9035f2fc2e232f,00a905a4a4a2b071,36b8f265bcd1b7a4,71505842fb6455c3,Abus Magomedov,Dustin Stoltzfus,Middleweight,R,https://www.ufcstats.com/fight-details/cf9035f2fc2e232f
fd47032108b85cf0,00a905a4a4a2b071,1e4f273069fb9e85,b4c57a8c2b773e82,Fares Ziam,Michal Figlak,Lightweight,R,https://www.ufcstats.com/fight-details/fd47032108b85cf0
03de7404decde12f,010986ee359fb863,c0ac37a4a1133da9,96924b0019b3aff1,Marcus McGhee,Gaston Bolanos,Bantamweight,R,https://www.ufcstats.com/fight-details/03de7404decde12f
0494ebcee93e717b,010986ee359fb863,52ef95b5860fb28c,7b3503352cd53abb,Jean Silva,Westin Wilson,Featherweight,R,https://www.ufcstats.com/fight-details/0494ebcee93e717b
477c3b9de012e4b3,010986ee359fb863,a09ed60aa67a3f67,8b1ed83b02303075,Farid Basharat,Taylor Lapilus,Bantamweight,R,https://www.ufcstats.com/fight-details/477c3b9de012e4b3
5344e76e26503716,010986ee359fb863,37f560436d745c18,6c3b2525436cf5d4,Nikolas Motta,Tom Nolan,Lightweight,R,https://www.ufcstats.com/fight-details/5344e76e26503716
5f622d812b8f407f,010986ee359fb863,9fe7af8b3fbe00a0,4aa58269d0664b5b,Preston Parsons,Matthew Semelsberger,Welterweight,R,https://www.ufcstats.com/fight-details/5f622d812b8f407f
640f2ae3995b3b4f,010986ee359fb863,d1941565abf50b16,436f970c9ea9169c,Jim Miller,Gabriel Benitez,Lightweight,R,https://www.ufcstats.com/fight-details/640f2ae3995b3b4f
6f13fe34cb3ca906,010986ee359fb863,fc08099550072fe4,3738e68d2261e60f,Waldo Cortes-Acosta,Andrei Arlovski,Heavyweight,R,https://www.ufcstats.com/fight-details/6f13fe34cb3ca906
a8239866e1222eae,010986ee359fb863,bc711b6dd95c1af6,5987b2458f4b5290,Mario Bautista,Ricky Simon,Bantamweight,R,https://www.ufcstats.com/fight-details/a8239866e1222eae
d0d99889c6abd8e1,010986ee359fb863,1e719d4b676dc19a,547afe1017e72dbe,Brunno Ferreira,Phil Hawes,Middleweight,R,https://www.ufcstats.com/fight-details/d0d99889c6abd8e1
f2b407019b2a5c15,010986ee359fb863,d802174b0c0c1f4e,c21f26bbde777573,Magomed Ankalaev,Johnny Walker,Light Heavyweight,R,https://www.ufcstats.com/fight-details/f2b407019b2a5c15
