fight_id,round,r_kd,r_sig_landed,r_sig_attempts,r_td,r_ctrl_sec,r_head_landed,r_body_landed,r_leg_landed,r_distance_landed,r_clinch_landed,r_ground_landed,b_kd,b_sig_landed,b_sig_attempts,b_td,b_ctrl_sec,b_head_landed,b_body_landed,b_leg_landed,b_distance_landed,b_clinch_landed,b_ground_landed,r_total_landed,r_total_attempts,r_td_attempts,r_sub_att,r_rev,b_total_landed,b_total_attempts,b_td_attempts,b_sub_att,b_rev,r_head_attempts,r_body_attempts,r_leg_attempts,b_head_attempts,b_body_attempts,b_leg_attempts,r_distance_attempts,r_clinch_attempts,r_ground_attempts,b_distance_attempts,b_clinch_attempts,b_ground_attempts
00835554f95fa911,1,0,4,4,1,0,3,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,11.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
008d0158831dcbd4,1,0,6,13,2,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
008d1123cc90f003,1,0,30,45,0,0,8,4,18,29,0,1,0,0,0,0,0,0,0,0,0,0,0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,22.0,0.0,0.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0
0094d2ed98819f7a,1,0,37,99,1,0,27,6,4,32,3,2,0,0,0,0,0,0,0,0,0,0,0,67.0,135.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,10.0,7.0,0.0,0.0,0.0,92.0,4.0,3.0,0.0,0.0,0.0
0096879f5708526b,1,0,25,53,0,0,10,8,7,23,1,1,0,0,0,0,0,0,0,0,0,0,0,25.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,12.0,8.0,0.0,0.0,0.0,50.0,1.0,2.0,0.0,0.0,0.0
009feda296ae589c,1,0,46,115,0,0,37,5,4,45,0,1,0,0,0,0,0,0,0,0,0,0,0,86.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,6.0,4.0,0.0,0.0,0.0,114.0,0.0,1.0,0.0,0.0,0.0
00a5e033391bf8df,1,0,44,88,5,0,42,2,0,9,0,35,0,0,0,0,0,0,0,0,0,0,0,96.0,140.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,52.0,0.0,0.0,0.0
00a94d5fc7ce55cf,1,0,9,17,1,0,3,4,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
00b1e95f6aea7027,1,0,65,201,0,0,51,9,5,49,8,8,0,0,0,0,0,0,0,0,0,0,0,70.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,15.0,6.0,0.0,0.0,0.0,182.0,9.0,10.0,0.0,0.0,0.0
00b7497b02b3b2bb,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
00b801e7e1679f2f,1,0,35,71,1,0,17,16,2,25,10,0,0,0,0,0,0,0,0,0,0,0,0,37.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,21.0,2.0,0.0,0.0,0.0,59.0,11.0,1.0,0.0,0.0,0.0
