fighter_name,url,http_ok,http_error,html_bytes,anti_bot_hit,table_found,event_headers,headers_skipped_unconfirmed,headers_skipped_future,headers_with_dates,main_rows_total,matched_rows,fights_yielded,name_match_example,last_header_date_example,missing_closing_both,missing_closing_one_side,open_missing_count,reason_if_empty
Nick Agallar,https://www.bestfightodds.com/fighters/Nick-Agallar-102,yes,,12240,maybe,yes,1,0,0,1,1,0,0,nick agallar +260 +270 ... +270 +2.7% ▲ bellator fighting championship 1,Apr 3rd 2009,0,0,0,NAME_NEVER_FOUND
Mostapha Al-Turk,https://www.bestfightodds.com/fighters/Mostapha-Al-Turk-797,yes,,18212,maybe,yes,5,0,0,5,5,0,0,mostapha al-turk +240 +205 ... +205 -11.5% ▼ ufc 112: invincible,Mar 8th 2008,0,0,0,NAME_NEVER_FOUND
Nick Aguirre,https://www.bestfightodds.com/fighters/Nick-Aguirre-15050,yes,,13774,maybe,yes,2,0,0,2,2,0,0,nick aguirre +350 +460 ... +600 +29.2% ▲ ufc,Jan 14th 2023,0,0,0,NAME_NEVER_FOUND
Ricardo Abreu,https://www.bestfightodds.com/fighters/Ricardo-Abreu-4926,yes,,13955,maybe,yes,2,0,0,2,2,0,0,ricardo abreu -210 -200 ... -175 +3.6% ▲ ufc fight night 68: henderson vs. boetsch,May 31st 2014,0,0,0,NAME_NEVER_FOUND
Mansur Abdul-Malik,https://www.bestfightodds.com/fighters/Mansur-Abdul-Malik-12720,yes,,19546,maybe,yes,6,0,0,6,6,0,0,mansur abdul-malik -549 -1050 ... -800 -7.1% ▼ ufc fight night,Oct 23rd 2021,0,0,0,NAME_NEVER_FOUND
Razak Al-Hassan,https://www.bestfightodds.com/fighters/Razak-Al-Hassan-5591,yes,,13168,maybe,yes,2,0,0,2,2,0,0,razak al-hassan -265 -265 ... -265 0% ufc 218: holloway vs. aldo 2,May 15th 2015,0,0,0,NAME_NEVER_FOUND
Juan Adams,https://www.bestfightodds.com/fighters/Juan-Adams-7702,yes,,30728,maybe,yes,13,0,0,13,13,0,0,juan adams -245 -400 ... -400 -12.7% ▼ fury fc 78,Feb 8th 2020,0,0,0,NAME_NEVER_FOUND
Danny Abbadi,https://www.bestfightodds.com/fighters/Danny-Abbadi-1276,yes,,11582,maybe,yes,1,0,0,1,1,0,0,danny abbadi n/a fight force: ultimate chaos,Jun 27th 2009,0,0,0,NAME_NEVER_FOUND
Hector Aldana,https://www.bestfightodds.com/fighters/Hector-Aldana-8244,yes,,15550,maybe,yes,3,0,0,3,3,0,0,hector aldana +170 +200 ... +210 +11.8% ▲ ufc on espn+ 19: joanna vs. waterson,Jun 23rd 2018,0,0,0,NAME_NEVER_FOUND
Abdul-Kareem Al-Selwady,https://www.bestfightodds.com/fighters/Abdul-Kareem-Al-Selwady-10295,yes,,23192,maybe,yes,9,0,0,9,9,0,0,abdul-kareem al-selwady -250 -250 ... -250 ufc,Aug 28th 2020,0,0,0,NAME_NEVER_FOUND
