fight_id,event_id,date,matched_side,matched_fighter,db_opponent,bfo_opponent,bfo_opponent_url,offset_days,name_equal_norm,surname_subset,lev_distance,reason
5efd13a12be06706,421ccfc6ddb17958,2025-08-16,blue,Eric Nolan,Baisangur Susurkaev,,,,,,,NO_HEADER_DATE_MATCH
ac57250e3de89d5d,f2c934689243fe4e,2025-08-02,red,Neil Magny,Elizeu Zaleski dos Santos,,,,,,,NO_HEADER_DATE_MATCH
282c8c6c1ed82bfb,f2c934689243fe4e,2025-08-02,red,Tatsuro Taira,HyunSung Park,,,,,,,NO_HEADER_DATE_MATCH
3d6571790c21527c,6cd3dfc54f01287f,2025-08-09,red,Julius Walker,Rafael Cerqueira,,,,,,,NO_HEADER_DATE_MATCH
582d66ce97309e29,28d8638ea0a71908,2025-07-26,blue,Marc-Andre Barriault,Shara Magomedov,,,,,,,NO_HEADER_DATE_MATCH
887c61da1a78a5e1,28d8638ea0a71908,2025-07-26,blue,Jose Ochoa,Asu Almabayev,,,,,,,NO_HEADER_DATE_MATCH
68fe62bac7fd8bb0,6cd3dfc54f01287f,2025-08-09,blue,Anthony Hernandez,Roman Dolidze,,,,,,,NO_HEADER_DATE_MATCH
58080e8989927500,754968e325d6f60d,2025-08-23,red,Brian Ortega,Aljamain Sterling,,,,,,,NO_HEADER_DATE_MATCH
9f4a0de31375ba04,18c49685296c60e6,2025-06-07,red,Jeka Saragih,JooSang Yoo,,,,,,,NO_HEADER_DATE_MATCH
df5dac45fc585fb0,18c49685296c60e6,2025-06-07,red,Mario Bautista,Patchy Mix,,,,,,,NO_HEADER_DATE_MATCH
18a7dc86279066f8,8ad022dd81224f61,2025-05-17,blue,Carlos Hernandez,HyunSung Park,,,,,,,NO_HEADER_DATE_MATCH
d6e2bc6e6c0cc4fe,8ad022dd81224f61,2025-05-17,blue,Connor Matthews,Yadier del Valle,,,,,,,NO_HEADER_DATE_MATCH
6ecfa439ef900bcc,118463dd8db16e7f,2025-05-10,blue,Bruno Silva,Marc-Andre Barriault,,,,,,,NO_HEADER_DATE_MATCH
ad68450307a21ab1,2a898bf9fb7710b3,2025-05-31,blue,Dusko Todorovic,Zachary Reese,,,,,,,NO_HEADER_DATE_MATCH
5fcf18bcd2a020f1,400c7b43c86d27d3,2025-06-21,red,Ismail Naurdiev,JunYong Park,,,,,,,NO_HEADER_DATE_MATCH
