fight_id,event_id,r_fighter_id,b_fighter_id,r_fighter_name,b_fighter_name,weight_class,scheduled_rounds,method,end_round,end_time_sec,is_title,judge_scores,winner_corner,fight_url,debug_li
a95b03e9b5a91e47,,,,,,,3.0,Decision - Unanimous,3.0,300.0,,,,,"Method: Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley
Method: Decision - Unanimous
Round: 3
Time: 5:00
Time format: 3 Rnd (5-5-5)
Referee: Kerry Hatley
Details: Derek Cleary 28 - 29. Eric Colon 28 - 29. Junichiro Kamijo 28 - 29.
Details:
Derek Cleary 28 - 29.
Eric Colon 28 - 29.
Junichiro Kamijo 28 - 29."
d2cb92fdf6a497e9,,,,,,,3.0,Decision - Unanimous,3.0,300.0,,,,,"Method: Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Chris Hill
Method: Decision - Unanimous
Round: 3
Time: 5:00
Time format: 3 Rnd (5-5-5)
Referee: Chris Hill
Details: Robbie Scheuermann 28 - 29. Sal D'amato 28 - 29. Chris Lee 28 - 29.
Details:
Robbie Scheuermann 28 - 29.
Sal D'amato 28 - 29.
Chris Lee 28 - 29."
8e1feda9141602f1,,,,,,,3.0,Decision - Unanimous,3.0,300.0,,,,,"Method: Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Bassel Mahgoub
Method: Decision - Unanimous
Round: 3
Time: 5:00
Time format: 3 Rnd (5-5-5)
Referee: Bassel Mahgoub
Details: Todd Maxwell 27 - 30. Junichiro Kamijo 27 - 30. Derek Cleary 28 - 29.
Details:
Todd Maxwell 27 - 30.
Junichiro Kamijo 27 - 30.
Derek Cleary 28 - 29."
df2ed8b509fbdbdc,,,,,,,3.0,Decision - Split,3.0,300.0,,,,,"Method: Decision - Split Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Jason Herzog
Method: Decision - Split
Round: 3
Time: 5:00
Time format: 3 Rnd (5-5-5)
Referee: Jason Herzog
Details: Sal D'amato 28 - 29. Todd Singletary 29 - 28. Chris Lee 28 - 29.
Details:
Sal D'amato 28 - 29.
Todd Singletary 29 - 28.
Chris Lee 28 - 29."
72e477b41f44e358,,,,,,,3.0,KO/TKO,1.0,70.0,,,,,"Method: KO/TKO Round: 1 Time: 1:10 Time format: 3 Rnd (5-5-5) Referee: Herb Dean
Method: KO/TKO
Round: 1
Time: 1:10
Time format: 3 Rnd (5-5-5)
Referee: Herb Dean
Details: Punch to Head At Distance
Details:"
37bc72d5d211b189,,,,,,,3.0,KO/TKO,1.0,246.0,,,,,"Method: KO/TKO Round: 1 Time: 4:06 Time format: 3 Rnd (5-5-5) Referee: Mike Beltran
Method: KO/TKO
Round: 1
Time: 4:06
Time format: 3 Rnd (5-5-5)
Referee: Mike Beltran
Details: Punch to Head At Distance
Details:"
798652dbea086910,,,,,,,3.0,Submission,1.0,282.0,,,,,"Method: Submission Round: 1 Time: 4:42 Time format: 3 Rnd (5-5-5) Referee: Dan Miragliotta
Method: Submission
Round: 1
Time: 4:42
Time format: 3 Rnd (5-5-5)
Referee: Dan Miragliotta
Details: Armbar From Side Control
Details:"
182ee320edb1b5ed,,,,,,,3.0,Submission,1.0,167.0,,,,,"Method: Submission Round: 1 Time: 2:47 Time format: 3 Rnd (5-5-5) Referee: Chris Hill
Method: Submission
Round: 1
Time: 2:47
Time format: 3 Rnd (5-5-5)
Referee: Chris Hill
Details: Guillotine Choke Standing
Details:"
74099d470e8d2765,,,,,,,3.0,Submission,1.0,215.0,,,,,"Method: Submission Round: 1 Time: 3:35 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley
Method: Submission
Round: 1
Time: 3:35
Time format: 3 Rnd (5-5-5)
Referee: Kerry Hatley
Details: Armbar From Mount
Details:"
a602c68147b752b2,,,,,,,3.0,KO/TKO,3.0,90.0,,,,,"Method: KO/TKO Round: 3 Time: 1:30 Time format: 3 Rnd (5-5-5) Referee: Bassel Mahgoub
Method: KO/TKO
Round: 3
Time: 1:30
Time format: 3 Rnd (5-5-5)
Referee: Bassel Mahgoub
Details: Knee to Body At Distance
Details:"
0adfc21045c02555,,,,,,,5.0,KO/TKO,1.0,35.0,,,,,"Method: KO/TKO Round: 1 Time: 0:35 Time format: 5 Rnd (5-5-5-5-5) Referee: Jason Herzog
Method: KO/TKO
Round: 1
Time: 0:35
Time format: 5 Rnd (5-5-5-5-5)
Referee: Jason Herzog
Details: Punches to Head On Ground
Details:"
2a03bc4c491b4c9a,,,,,,,3.0,Decision - Split,3.0,300.0,,,,,"Method: Decision - Split Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Blake Grice
Method: Decision - Split
Round: 3
Time: 5:00
Time format: 3 Rnd (5-5-5)
Referee: Blake Grice
Details: Mike Bell 28 - 29. Rick Winter 29 - 28. Dave Tirelli 28 - 29.
Details:
Mike Bell 28 - 29.
Rick Winter 29 - 28.
Dave Tirelli 28 - 29."
f368475c366c6d85,,,,,,,3.0,Decision - Unanimous,3.0,300.0,,,,,"Method: Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Jason Herzog
Method: Decision - Unanimous
Round: 3
Time: 5:00
Time format: 3 Rnd (5-5-5)
Referee: Jason Herzog
Details: Sal D'amato 27 - 30. Anthony Maness 27 - 30. Dave Tirelli 27 - 30.
Details:
Sal D'amato 27 - 30.
Anthony Maness 27 - 30.
Dave Tirelli 27 - 30."
4e5d4a36eaaa3a78,,,,,,,3.0,KO/TKO,3.0,27.0,,,,,"Method: KO/TKO Round: 3 Time: 0:27 Time format: 3 Rnd (5-5-5) Referee: Blake Grice
Method: KO/TKO
Round: 3
Time: 0:27
Time format: 3 Rnd (5-5-5)
Referee: Blake Grice
Details: Punch to Head At Distance
Details:"
4b75d3b7738cb278,,,,,,,3.0,Submission,1.0,256.0,,,,,"Method: Submission Round: 1 Time: 4:16 Time format: 3 Rnd (5-5-5) Referee: Jimmy Neely
Method: Submission
Round: 1
Time: 4:16
Time format: 3 Rnd (5-5-5)
Referee: Jimmy Neely
Details: Rear Naked Choke
Details:"
