fight_id,round,r_kd,r_sig_landed,r_sig_attempts,r_td,r_ctrl_sec,r_head_landed,r_body_landed,r_leg_landed,r_distance_landed,r_clinch_landed,r_ground_landed,b_kd,b_sig_landed,b_sig_attempts,b_td,b_ctrl_sec,b_head_landed,b_body_landed,b_leg_landed,b_distance_landed,b_clinch_landed,b_ground_landed,r_total_landed,r_total_attempts,r_td_attempts,r_sub_att,r_rev,b_total_landed,b_total_attempts,b_td_attempts,b_sub_att,b_rev,r_head_attempts,r_body_attempts,r_leg_attempts,b_head_attempts,b_body_attempts,b_leg_attempts,r_distance_attempts,r_clinch_attempts,r_ground_attempts,b_distance_attempts,b_clinch_attempts,b_ground_attempts
a95b03e9b5a91e47,1,0,24,56,0,6,4,15,5,24,0,0,0,12,46,0,0,2,7,3,12,0,0,,,,,,,,,,,,,,,,,,,,,,
d2cb92fdf6a497e9,1,0,29,67,0,0,18,8,3,29,0,0,0,22,69,0,3,12,5,5,22,0,0,,,,,,,,,,,,,,,,,,,,,,
8e1feda9141602f1,1,0,29,58,0,77,25,1,3,21,2,6,0,30,55,2,80,23,6,1,23,0,7,,,,,,,,,,,,,,,,,,,,,,
df2ed8b509fbdbdc,1,0,7,9,1,119,4,2,1,5,2,0,0,17,28,0,124,8,8,1,8,5,4,,,,,,,,,,,,,,,,,,,,,,
72e477b41f44e358,1,1,19,37,0,1,16,3,0,16,1,2,0,2,5,0,0,1,0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,
37bc72d5d211b189,1,0,14,27,0,59,5,2,7,13,1,0,1,21,41,0,2,17,3,1,16,2,3,,,,,,,,,,,,,,,,,,,,,,
798652dbea086910,1,0,5,18,3,138,5,0,0,4,0,1,0,21,36,0,8,7,9,5,13,6,2,,,,,,,,,,,,,,,,,,,,,,
182ee320edb1b5ed,1,0,8,19,1,134,8,0,0,2,0,6,0,5,8,0,0,1,0,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,
74099d470e8d2765,1,0,7,9,1,67,4,1,2,6,0,1,0,4,15,0,8,3,1,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,
a602c68147b752b2,1,0,38,78,0,43,26,12,0,32,5,1,0,11,40,0,48,8,2,1,9,2,0,,,,,,,,,,,,,,,,,,,,,,
