fighter_id,n_fights,bin
d1941565abf50b16,45,"(20, 50]"
3738e68d2261e60f,41,"(20, 50]"
1d00756835ca67c9,37,"(20, 50]"
c47df9303d318c67,37,"(20, 50]"
6a2f7c151031653d,36,"(20, 50]"
84b3e7d38f2d2ec5,35,"(20, 50]"
18968f97ad34f15c,34,"(20, 50]"
07225ba28ae309b6,34,"(20, 50]"
427b5953ac8e3a27,33,"(20, 50]"
82e7929bf6c2b689,32,"(20, 50]"
150ff4cc642270b9,31,"(20, 50]"
64a50dad704d1d49,31,"(20, 50]"
511e82663651438d,31,"(20, 50]"
029eaff01e6bb8f0,31,"(20, 50]"
6a1901c62ab3870f,30,"(20, 50]"
31123249b0bbf52e,30,"(20, 50]"
d3df1add9d9a7efb,30,"(20, 50]"
f2688492b9a525a3,30,"(20, 50]"
92a9aa9c93192871,30,"(20, 50]"
4b47e71384a9522f,29,"(20, 50]"
7aa3d6964eff4877,29,"(20, 50]"
2b93ebd9f5417ad2,29,"(20, 50]"
f0feeb2192937424,28,"(20, 50]"
75e5fec9f72910ef,28,"(20, 50]"
50db8711c70196cd,28,"(20, 50]"
8355922d564b152c,27,"(20, 50]"
31ee470ef5dc8d7f,27,"(20, 50]"
73c7cfa551289285,27,"(20, 50]"
2f732dd9210d301f,27,"(20, 50]"
3bad7ef643840f67,27,"(20, 50]"
1ff9589f9065a9ed,27,"(20, 50]"
a8283a4f415e1eb9,26,"(20, 50]"
0c6d9ea8306c029e,26,"(20, 50]"
887961364be5ceb3,26,"(20, 50]"
3a46b268013afede,26,"(20, 50]"
f2925e6db404bf1d,25,"(20, 50]"
d4c9dcd330403612,25,"(20, 50]"
4f732e58ed907eff,25,"(20, 50]"
d247691a6c0e9034,25,"(20, 50]"
0ee783aa00e468f0,25,"(20, 50]"
a8e6a69796280f17,25,"(20, 50]"
06f36cf4bd97ec77,25,"(20, 50]"
dd37fd509af89f15,25,"(20, 50]"
621a6c59f88a44fe,25,"(20, 50]"
f7a7f7118d4b01b6,24,"(20, 50]"
6fb1ba67bef41b37,24,"(20, 50]"
d156513a19acf856,24,"(20, 50]"
22a92d7f62195791,24,"(20, 50]"
1f454354805b6f75,24,"(20, 50]"
