fold,ridge,Kmin_lo,Kmin_hi,Kmax_lo,Kmax_hi,beta_bound,val_logloss,val_brier,val_acc,params,success
3,0.001,6.0,20.0,32.0,96.0,2.0,0.7333654133042844,0.5038195876576761,0.5336032388663967,"[0.4601986608502499, 6.0, 96.0, 0.012642364178677073, 0.49012017224410515, -0.5797149350209133, 1.9995452538349243, 2.0, 0.7099732450432893, -0.41601485079448197, 0.7977658258454161, 0.2786537991304911, 2.0, -1.3603710386793555, 0.032828498753068376, 0.20339438441843613, 0.12702143977952923, 0.05445725377863416]",True
3,0.001,6.0,20.0,32.0,96.0,2.5,0.733377189196749,0.5038930553342632,0.5384615384615384,"[0.46302419798450595, 16.396270684310885, 96.0, 0.012900237790545327, 0.28430652712722, 0.1256015607556221, 1.9408103853281773, 2.5, 0.6728996622185955, -0.2603977238298459, 0.37846642366760214, 0.22248485521743677, 2.5, 0.41653650505139317, -0.16377780571649375, -0.007210680583452533, 0.1367352834310177, 0.16125074272885503]",True
3,0.01,4.0,16.0,28.0,72.0,2.0,0.7333831378606731,0.5038438259885143,0.5376518218623482,"[0.4601986608502499, 4.0, 72.0, 0.012602940089598617, 0.5059514013586655, 0.8733210912443241, 1.529773045997444, 2.0, 1.6301056731748436, -0.705762962787541, 0.8234774760960099, 0.7609884242549105, 2.0, -2.0, -0.11435292144392346, -0.7124554881244108, -0.4376214658914242, -0.1817504521477015]",True
3,0.01,6.0,20.0,32.0,96.0,2.0,0.7334236241834288,0.5038850076371901,0.540080971659919,"[0.46302419798450595, 6.0, 96.0, 0.012672100113232249, -0.18492952739165874, 1.6215027122209043, 1.0544713266129677, 2.0, 1.2840400302559007, -0.5527288895335892, 0.26830842069747907, 0.463136560952445, 2.0, -1.999892874230833, -0.6892407028298234, 0.14719153663498283, 1.0158776125911395, 0.8994014020813366]",True
3,0.01,4.0,16.0,28.0,72.0,2.5,0.733491027103244,0.5039521701567294,0.5408906882591094,"[0.10245854615676621, 8.98221954281353, 72.0, 0.012626285383540088, 0.4450065708891197, 1.0063651615071016, 1.8139262171219965, 2.5, 1.033271264333594, -0.39881363955704097, 0.3494058171302158, 2.3175556344879373, 2.5, -0.20664982801359594, -0.04831701978819734, 0.0013242980942888944, 0.0443040015978208, 0.04102553620936988]",True
3,0.003,4.0,16.0,28.0,72.0,2.0,0.7335894617283168,0.5040427061359088,0.5392712550607287,"[0.16692935480192447, 4.0, 72.0, 0.012594703014816334, 0.2050661185015525, 1.9913502327009924, 1.1224009290760677, 2.0, 1.717096134527896, -0.7197437257478724, 0.24913187458297748, 1.9037664302284523, 2.0, -2.0, 0.021408920450245124, 0.045981291740983525, -0.10240151281223996, -0.021922206958072888]",True
3,0.003,4.0,16.0,28.0,72.0,2.5,0.7335934766827549,0.5040519312614914,0.5384615384615384,"[0.14306267095029648, 11.07180463283476, 72.0, 0.01260806992405222, -0.3201045639305569, 2.499986138175887, 1.1330861473586347, 2.5, 1.0244711555738604, -0.37274711456621756, 0.5317695117821064, 0.6909003501394165, 2.5, 0.545013778613078, 0.08143267979015878, -0.19467897298059927, -0.41944957220684365, 0.052675861123240346]",True
3,0.001,4.0,16.0,28.0,72.0,2.5,0.7335987593217745,0.5040596172885853,0.5384615384615384,"[0.46302419798450595, 9.725347609838064, 72.0, 0.012624503846570748, -0.033122306446978805, 2.098024180917721, 1.3686779419901338, 2.5, 0.8712532556153361, -0.37303997294071445, 0.4743351480623279, 0.8788975138825201, 2.5, 6.785749164007651e-05, 0.23494481747392132, -0.060958711962304526, -0.38017729366671404, -0.3403281448522071]",True
3,0.01,6.0,20.0,32.0,96.0,2.5,0.7336930639849164,0.5041383272447844,0.5360323886639676,"[0.535303959369548, 15.382514349288853, 96.0, 0.012649628011893002, -0.8191755150414607, 2.186849607053585, 1.049593165019088, 2.5, 1.1219133437168105, -0.5447067607631123, 0.6306822354938936, -0.4794544396948483, 2.5, -1.8721394435954803, 1.6060345898773196, 0.6247671854109021, -1.542556905894409, -1.6915545320113154]",True
3,0.001,4.0,16.0,28.0,72.0,2.0,0.7338164396411971,0.504251867099657,0.5408906882591094,"[0.14306267095029648, 14.714269282117609, 72.0, 0.01251635278746762, 0.07134224827278164, 1.3906270221247712, 1.315781676797579, 2.0, 1.9422229048969024, -0.9132055842915668, 1.4106900001753133, 0.6650014378502723, 2.0, 0.2117766520041822, 0.06976547599044919, -0.17083092325377533, -0.3658073014977696, 0.04381710447892394]",True
