ridge,Kmin_lo,Kmin_hi,Kmax_lo,Kmax_hi,beta_bound,val_logloss,val_brier,val_acc,val_mean_p_d,val_emp_draw,val_K_med,val_K_p90,val_K_p99,params,success
0.003,6.0,20.0,32.0,96.0,2.5,0.7404808999474098,0.5059722804089901,0.5562753036437247,0.007307266181889243,0.010526315789473684,55.78645849152027,75.47478400576414,93.86294150337721,"[0.8180627659413494, 6.0, 96.0, 0.014806257478091611, -1.1605414065725368, 2.4488411887818815, 0.6242817326669586, 2.5, 0.28920943419412853, -0.19190372726049013, 0.5181949924417397, 0.7966109367829316, 2.5, 1.2005917837839888]",True
0.001,6.0,20.0,32.0,96.0,2.5,0.7405012747422041,0.5060418398120963,0.557085020242915,0.007330821136541951,0.010526315789473684,45.90034670325198,67.15159450532559,72.53216010921297,"[0.17581729831489168, 7.70121811811015, 74.88763150376191, 0.014831905948438785, 0.03761308948335387, 0.7764452598553803, 1.5774720863975722, 2.5, 0.8030085561738715, -0.44179458953020395, 0.8477316936796373, 1.114722756500509, 1.3574717308387145, -0.22589072704609778]",True
0.01,4.0,16.0,28.0,72.0,2.5,0.7405096568620757,0.5060310378161847,0.5530364372469636,0.0073154612600495605,0.010526315789473684,48.48442893281941,64.51176312812915,71.11637127536153,"[0.7990338212556809, 4.0, 72.0, 0.014801778610995747, 0.10279033784372213, 1.2321046882520341, 1.4495254639825894, 2.5, 0.6067588340001091, -0.31694643404625017, 0.5581102542131101, 1.0859811030285178, 2.5, -1.3505507723605858]",True
0.003,6.0,20.0,32.0,96.0,2.0,0.7405825366401112,0.5060826015063563,0.5562753036437247,0.007251535907929368,0.010526315789473684,48.08387491252276,72.21512824717628,80.40963031634814,"[0.7465604437003669, 12.205017039299985, 87.00338822744368, 0.014678294905714413, -0.19756688236051542, 0.4617493837408852, 1.3783761290412586, 2.0, 0.6548781053227447, -0.39277607570833833, 0.7116678686615655, 1.0166552794576065, 0.9308933914854599, 0.15216106583249708]",True
0.001,6.0,20.0,32.0,96.0,2.0,0.7406022423560974,0.5061306006448354,0.5530364372469636,0.00732102713839091,0.010526315789473684,45.645377310033695,73.22093998575482,81.7289080563348,"[0.7465604437003669, 12.191428657799879, 87.00087049933208, 0.014817850409375374, -0.24330743517328587, 0.4286987168992032, 1.3201250836134215, 2.0, 0.7813430671016482, -0.5137616709889289, 0.7668029255972684, 1.1478331669302075, 1.118916759961995, 0.06885045815208243]",True
0.001,8.0,24.0,40.0,128.0,2.0,0.7407076097113521,0.5062107786501329,0.5554655870445344,0.007318859891006792,0.010526315789473684,54.64251715246393,76.43810769228801,89.91395466390746,"[0.17581729831489168, 9.858978783461438, 98.85032544938126, 0.01482775642770181, -0.3223028190306798, 0.4901772403995643, 1.2945009458849042, 2.0, 0.27581394091507516, -0.26159494294998725, 0.6478005456680548, 0.8890893832258737, 1.080364836069593, -0.06501466662743668]",True
0.001,4.0,16.0,28.0,72.0,2.0,0.7407153350350115,0.5062275331288391,0.5562753036437247,0.00730336483735604,0.010526315789473684,44.870385815341116,64.1943576315115,66.98177515482584,"[0.18886054286079304, 11.419269642083862, 67.89952740301723, 0.014771805830884551, -0.5353439113715078, 1.730265145117791, 1.034482273461962, 2.0, 0.8774143563203687, -0.7062191510298579, 1.183377195584649, 2.0, 1.1963224964488415, -1.4876605680847346]",True
0.003,4.0,16.0,28.0,72.0,2.5,0.7407296707552397,0.5062402288943171,0.5562753036437247,0.007308265913236612,0.010526315789473684,47.9571084051186,65.5265624638046,70.95460390055572,"[0.44907277894459796, 4.0, 72.0, 0.014787208599959325, -0.2516471555579529, 1.634963308028995, 1.1825238965922449, 2.5, 0.5476929264609316, -0.3443181201751453, 0.7536034963181387, 1.882762267016099, 1.4837116269919732, -0.6701528811134353]",True
0.001,4.0,16.0,28.0,72.0,2.5,0.7407595602684675,0.5062904488198089,0.5522267206477732,0.007345255485579177,0.010526315789473684,51.06934957342909,66.00332461213955,71.48453794445639,"[0.44907277894459796, 12.799607658308755, 72.0, 0.01486741693680626, -0.5128065488552626, 1.8145583275785997, 1.127181854535977, 2.5, 0.38387545607348383, -0.29655492248204823, 1.0091608751666006, 1.1675558915112687, 2.5, 1.078629619982788]",True
0.01,8.0,24.0,40.0,128.0,2.0,0.7407676246311047,0.5062756195490822,0.5538461538461539,0.007339204718903543,0.010526315789473684,55.22648105539792,76.56043797653003,90.71882941442458,"[0.17581729831489168, 9.85365645597493, 98.85458716317048, 0.01487041310080882, -0.31393585292547493, 0.4940551157211509, 1.2882436624350833, 2.0, 0.2601486691135197, -0.23640668494619332, 0.6537594957323553, 0.921756710208349, 1.1237556468645469, -0.07587575239031151]",True
